Key,en,es,ar,fr
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال,Ajouter de l'argent manuellement
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا,Ajouter de l'argent manuellement Modifier
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال,Argent sortant Modifier
alias.exists,alias.exists,alias.existe,الاسم المستعار. موجود,alias.existe
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !
Money Out Add,Money Out Add,Añadir salida de dinero,إضافة الأموال,Argent sortant Ajouter
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول,Profil d'administrateur
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور,Changement de mot de passe
current_password,current_password,Contraseña actual,current_password,mot de passe_actuel
Current password didn,Current password didn,La contraseña actual no,كلمة المرور الحالية لم,Le mot de passe actuel n'a pas été utilisé
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !
2FA Authentication,2FA Authentication,Autenticación 2FA,مصادقة 2FA,Authentification 2FA
Google 2FA Status Updated Successfully!,Google 2FA Status Updated Successfully!,¡El estado de Google 2FA se actualizó exitosamente!,تم تحديث حالة Google 2FA بنجاح!,Le statut Google 2FA a été mis à jour avec succès !
Server Information,Server Information,Información del servidor,معلومات الخادم,Informations sur le serveur
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC,Formulaire de données KYC
Client Feedback Section,Client Feedback Section,Sección de comentarios del cliente,قسم ملاحظات العملاء,Section Commentaires des clients
Announcement Section,Announcement Section,Sección de anuncios,قسم الإعلان,Section Annonce
Website Subscribers,Website Subscribers,Suscriptores del sitio web,المشتركين في الموقع,Abonnés du site Web
All Ticket,All Ticket,Todos los boletos,جميع التذاكر,Tous les billets
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet en attente
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة,Billet actif
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة,Billet résolu
Support Chat,Support Chat,Chat de soporte,دعم الدردشة,Chat d'assistance
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد,Modifier le lien utile
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Envoyer un e-mail aux utilisateurs non vérifiés
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,المستخدمين الذين لم يتم التحقق من الرسائل النصية القصيرة,Utilisateurs SMS non vérifiés
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم,Utilisateurs non vérifiés KYC
User Details,User Details,Detalles del usuario,تفاصيل المستخدم,Détails de l'utilisateur
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de connexion
Oops! User doesn,Oops! User doesn,¡Ups! El usuario no,أُووبس! المستخدم لا,Oups ! L'utilisateur ne
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم,Journaux de courrier électronique des utilisateurs
KYC Profile,KYC Profile,Perfil KYC,ملف تعريف KYC,Profil KYC
api,api,API,واجهة برمجة التطبيقات,API
Something went wrong! File is not detected.,Something went wrong! File is not detected.,¡Algo salió mal! El archivo no se detecta.,حدث خطأ ما! لم يتم الكشف عن الملف.,Quelque chose s'est mal passé ! Le fichier n'est pas détecté.
File Deleted Successfully!,File Deleted Successfully!,¡Archivo eliminado exitosamente!,تم حذف الملف بنجاح!,Fichier supprimé avec succès !
Please Verify 2FA Authentication,Please Verify 2FA Authentication,Verifique la autenticación 2FA,يرجى التحقق من مصادقة 2FA,Veuillez vérifier l'authentification 2FA
Installation,Installation,Instalación,تثبيت,Installation
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي,Le processus d'installation du projet est
Failed!,Failed!,¡Fallido!,فشل!,Échoué!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع,Serveur d'installation du projet
Requirements,Requirements,Requisitos,متطلبات,Exigences
Back,Back,Atrás,خلف,Dos
Welcome,Welcome,Bienvenido,مرحباً,Accueillir
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لمشروع عملية التثبيت,Vers le processus d'installation du projet
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación haga clic en el botón de inicio. Si elige no instalar esta aplicación, haga clic en el botón cancelar. Gracias",لمتابعة عملية التثبيت انقر على زر البداية. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا,"Pour continuer le processus d'installation, cliquez sur le bouton Démarrer. si vous choisissez de ne pas installer cette application, cliquez sur le bouton Annuler. Merci"
Cancel,Cancel,Cancelar,يلغي,Annuler
Start,Start,Comenzar,يبدأ,Commencer
Please Verify 2FA Authentication Using Valid Code,Please Verify 2FA Authentication Using Valid Code,Verifique la autenticación 2FA utilizando un código válido,يرجى التحقق من مصادقة 2FA باستخدام رمز صالح,Veuillez vérifier l'authentification 2FA à l'aide d'un code valide
Authentication Code,Authentication Code,Código de autenticación,رمز المصادقة,Code d'authentification
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel",إذا كان هناك خطأ ما في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك لتتمكن من الوصول إلى لوحة المعلومات,"En cas de problème avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord."
Verify,Verify,Verificar,يؤكد,Vérifier
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول,Administrateur | Se connecter
text,text,texto,نص,texte
SL NO,SL NO,SL NO,رقم SL,SL NON
TXN Type,TXN Type,Tipo TXN,نوع تي اكس ان,Type de NTX
Asset,Asset,Activo,أصل,Actif
Chain,Chain,Cadena,سلسلة,Chaîne
Block Number,Block Number,Número de bloque,رقم الكتلة,Numéro de bloc
Rate,Rate,Tasa,معدل,Taux
Add Language,Add Language,Agregar idioma,إضافة لغة,Ajouter une langue
Add,Add,Agregar,يضيف,Ajouter
Edit Language,Edit Language,Editar idioma,تحرير اللغة,Modifier la langue
Select Language,Select Language,Seleccionar idioma,اختر اللغة,Sélectionnez la langue
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv),"Fichier de langue (.xlsx, .csv)"
Add New Item,Add New Item,Agregar nuevo artículo,إضافة عنصر جديد,Ajouter un nouvel article
Add Brand,Add Brand,Agregar marca,أضف علامة تجارية,Ajouter une marque
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات,Ajouter des commentaires
Add Service,Add Service,Agregar servicio,أضف الخدمة,Ajouter un service
Add Solution,Add Solution,Agregar solución,أضف الحل,Ajouter une solution
Add Admin,Add Admin,Agregar administrador,إضافة المشرف,Ajouter un administrateur
countryFlag,countryFlag,paísbandera,علم البلد,paysDrapeau
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف,Image du profil d'administrateur
Generate,Generate,Generar,يولد,Générer
Select Role,Select Role,Seleccionar rol,حدد الدور,Sélectionnez un rôle
Add Currency,Add Currency,Agregar moneda,أضف العملة,Ajouter une devise
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,Ajouter un nouvel écran
Sub Title,Sub Title,Subtítulo,العنوان الفرعي,Sous-titre
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Ajouter une nouvelle autorisation
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Nom de l'autorisation
selectRole,selectRole,seleccionarRol,حدد الدور,selectRôle
Choose One,Choose One,Elige uno,اختر واحدًا,Choisissez-en un
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن,Attribuer une page/tâche d'autorisation
Edit Permission,Edit Permission,Editar permiso,تحرير إذن,Modifier l'autorisation
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Ajouter un nouveau rôle
Role Name,Role Name,Nombre del rol,اسم الدور,Nom du rôle
Edit Role,Edit Role,Editar rol,تحرير الدور,Modifier le rôle
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف,Modifier l'administrateur
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Modifier la devise
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة,Écran Modifier
Update Extension,Update Extension,Actualizar extensión,تحديث التمديد,Mettre à jour l'extension
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك,Rejeter KYC
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض,Expliquer la raison du rejet
Send Email,Send Email,Enviar correo electrónico,إرسال البريد الإلكتروني,Envoyer un e-mail
placeholder,placeholder,marcador de posición,العنصر النائب,espace réservé
Close,Close,Cerca,يغلق,Fermer
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Envoyer un courrier test
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين,Envoyer un mail à tous les abonnés
Details,Details,Detalles,تفاصيل,Détails
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل,Paramètre global pour
in bellow,in bellow,abajo,في رفع الصوت عاليا,en dessous
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Charge,Charge,Cargar,تكلفة,Charge
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة,Devise totale prise en charge
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Collecter des données
fas fa-plus,fas fa-plus,fas fa-plus,فاس فا بلس,fas fa-plus
Field Types,Field Types,Tipos de campo,أنواع الحقول,Types de champs
"This ticket is solved, you can","This ticket is solved, you can","Este ticket está solucionado, puedes",تم حل هذه التذكرة، يمكنك,"Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة,Billets en attente
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة,Billets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
Action,Action,Acción,فعل,Action
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول"".",Marquer comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails de l'assistance
Description,Description,Descripción,وصف,Description
Attachments,Attachments,Adjuntos,المرفقات,Pièces jointes
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,"هل أنت متأكد من وضع علامة ""تم الحل"" (الرمز المميز:",Êtes-vous sûr de marquer comme résolu (Jeton :
Because it,Because it,porque,لأنه,Parce que c'est
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة,Frais fixes
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة,Pourcentage de frais
Range,Range,Rango,يتراوح,Gamme
Minimum Amount,Minimum Amount,Cantidad Mínima,الحد الأدنى للمبلغ,Montant minimum
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ,Montant maximum
Limit,Limit,Límite,حد,Limite
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي,Limite de transfert quotidienne
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري,Limite de transfert mensuelle
Admin,Admin,Administración,مسؤل,Administrateur
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة,Développé par
Reset To Default,Reset To Default,Restablecer los valores predeterminados,إعادة التعيين إلى الافتراضي,Réinitialiser aux valeurs par défaut
Clear All,Clear All,Borrar todo,مسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée !
Google 2FA,Google 2FA,2FA de Google,جوجل 2FA,Google 2FA
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس,ID TRX
Gateway,Gateway,Puerta,بوابة,Porte
Time,Time,Tiempo,وقت,Temps
URI,URI,URI,URI,URI
Are you sure to delete this permission?,Are you sure to delete this permission?,¿Estás seguro de eliminar este permiso?,هل أنت متأكد من حذف هذا الإذن؟,Êtes-vous sûr de supprimer cette autorisation ?
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف,Tous les rôles d'administrateur
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف,Désigner un administrateur
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور,Êtes-vous sûr de supprimer ce rôle
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos de este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيتم أيضًا حذف كافة الأذونات مقابل هذا الدور.,Êtes-vous sûr de supprimer cette autorisation ? Cela supprimera également toutes les autorisations pour ce rôle.
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar?,هل أنت متأكد من إزالة,Êtes-vous sûr de supprimer
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك,Êtes-vous sûr de
this screen?,this screen?,esta pantalla?,هذه الشاشة؟,cet écran ?
App Version,App Version,Versión de la aplicación,إصدار التطبيق,Version de l'application
Reply,Reply,Responder,رد,Répondre
Created At,Created At,Creado en,تم الإنشاء في,Créé à
Replyed,Replyed,Respondido,تم الرد,A répondu
Not Replyed,Not Replyed,No respondido,لم يتم الرد,Pas de réponse
Send Reply,Send Reply,Enviar respuesta,إرسال الرد,Envoyer la réponse
Policy Link,Policy Link,Enlace de política,رابط السياسة,Lien vers la politique
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Carteras criptográficas,محافظ التشفير,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar carteras,إنشاء محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,La billetera no está presente en alguna moneda/moneda.,المحفظة غير موجودة في بعض العملات/العملات المعدنية.,Portefeuille non présent dans certaines devises/pièces.
Ex:,Ex:,Ex:,السابق:,Ex:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء محافظ لإنشاء محافظ ديناميكيًا.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles dynamiquement.
Add Wallet,Add Wallet,Agregar billetera,أضف المحفظة,Ajouter un portefeuille
Xpub,Xpub,xpub,إكسبوب,Xpub
Balance,Balance,Balance,توازن,Équilibre
Incoming Balance,Incoming Balance,Saldo entrante,الرصيد الوارد,Solde entrant
Outgoing Balance,Outgoing Balance,Saldo saliente,الرصيد الصادر,Solde sortant
Incoming Pending Balance,Incoming Pending Balance,Saldo pendiente entrante,الرصيد المعلق الوارد,Solde en attente entrant
Outgoing Pending Balance,Outgoing Pending Balance,Saldo pendiente saliente,الرصيد المعلق الصادر,Solde en attente sortant
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,"هذه العملة تحت الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة المحفظة يدويًا عن طريق النقر فوق زر ""إضافة"".",Cette pièce est en cours de maintenance ou doit générer un portefeuille. Vous pouvez ajouter un portefeuille manuellement en cliquant sur le bouton Ajouter.
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة,Ajouter un nouveau portefeuille
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de supprimer ce portefeuille ?
Gateway Edit,Gateway Edit,Puerta de enlace Editar,تحرير البوابة,Passerelle Modifier
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacciones,Transacitons,Transactions
Txn Hash,Txn Hash,hash txn,تكسن هاش,Hachage Txn
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف,Êtes-vous sûr de supprimer
currency?,currency?,¿divisa?,عملة؟,devise?
Total Visitors,Total Visitors,Visitantes totales,إجمالي الزوار,Nombre total de visiteurs
New,New,Nuevo,جديد,Nouveau
Today,Today,Hoy,اليوم,Aujourd'hui
Total,Total,Total,المجموع,Total
Total Profit,Total Profit,Beneficio total,إجمالي الربح,Bénéfice total
This Day,This Day,este dia,هذا اليوم,Ce jour
This Month,This Month,este mes,هذا الشهر,Ce mois-ci
Solved,Solved,Resuelto,تم الحل,Résolu
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال,En attente d'ajouter de l'argent
Pending Money Out,Pending Money Out,Pendiente de salida de dinero,في انتظار خروج الأموال,En attente de retrait d'argent
Add Money Analytics,Add Money Analytics,Agregar análisis de dinero,إضافة تحليلات المال,Ajouter des analyses d'argent
Send Report,Send Report,Enviar informe,إرسال التقرير,Envoyer le rapport
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟,Êtes-vous sûr de supprimer cette langue ?
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية,Mots-clés de langue anglais
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة,Mettre à jour la passerelle
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال),Ajouter une passerelle automatique (Ajouter de l'argent)
gatewayImage,gatewayImage,puerta de enlaceImagen,gateImage,passerelleImage
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول,Générer des champs
2FA Settings,2FA Settings,Configuración 2FA,إعدادات 2FA,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل عامل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Don,Don,Don,اِتَّشَح,Enfiler
t login in your account.,t login in your account.,No inicie sesión en su cuenta.,تسجيل الدخول في حسابك.,Ne vous connectez pas à votre compte.
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين عامل المصادقة الثنائية,Activer l'authentificateur à deux facteurs
2FA (Powered by google)?,2FA (Powered by google)?,2FA (Desarrollado por Google)?,2FA (مدعوم من جوجل)؟,2FA (propulsé par Google) ?
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil :
Select State,Select State,Seleccionar estado,اختر الدولة,Sélectionnez l'État
Select City,Select City,Seleccionar ciudad,اختر المدينة,Sélectionnez la ville
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح,Configuration des notifications push du navigateur
Method,Method,Método,طريقة,Méthode
Select Method,Select Method,Seleccionar método,حدد الطريقة,Sélectionnez la méthode
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance
Primary key,Primary key,clave primaria,المفتاح الأساسي,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي,Configuration de diffusion/notification interne
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق,Identifiant de l'application
Secret key,Secret key,clave secreta,المفتاح السري,Clé secrète
Cluster,Cluster,Grupo,تَجَمَّع,Grappe
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار,Corps de notification
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق,Environnement de l'application
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage de l'application
App Mode,App Mode,Modo de aplicación,وضع التطبيق,Mode application
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات,Connexion à la base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données
PHP Version,PHP Version,Versión PHP,نسخة PHP,Version PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برامج الخادم,Logiciel serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole de serveur
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi d'e-mail*
SMTP,SMTP,SMTP,SMTP,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier
Host,Host,Anfitrión,يستضيف,Hôte
Port,Port,Puerto,ميناء,Port
Encryption,Encryption,Cifrado,التشفير,Cryptage
Email Body,Email Body,Cuerpo del correo electrónico,هيئة البريد الإلكتروني,Corps de l'e-mail
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom du champ
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت),Taille maximale du fichier (Mo)
File Extension,File Extension,Extensión de archivo,امتداد الملف,Extension du fichier
Min Character,Min Character,Carácter mínimo,حرف مين,Caractère minimum
Max Character,Max Character,Carácter máximo,شخصية ماكس,Caractère maximum
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Nécessité sur le terrain
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Category,Add Category,Agregar categoría,أضف فئة,Ajouter une catégorie
Update Category,Update Category,Actualizar categoría,تحديث الفئة,Catégorie de mise à jour
Category,Category,Categoría,فئة,Catégorie
Tags,Tags,Etiquetas,العلامات,Balises
Heading,Heading,Título,عنوان,Titre
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un article
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément
Icon,Icon,Icono,رمز,Icône
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة الإعلانات,Tableau de bord des annonces
Total Category,Total Category,Categoría total,الفئة الإجمالية,Catégorie totale
Active Category,Active Category,Categoría activa,الفئة النشطة,Catégorie active
Total Announcement,Total Announcement,Anuncio Total,إعلان إجمالي,Annonce totale
Active Announcement,Active Announcement,Anuncio activo,إعلان فعال,Annonce active
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Lien vidéo
Designation,Designation,Designación,تعيين,Désignation
Comment,Comment,Comentario,تعليق,Commentaire
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات,Commentaires sur la mise à jour
Star,Star,Estrella,نجم,Étoile
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Rubrique Contact
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية,Liens sociaux
Link,Link,Enlace,وصلة,Lien
Edit Glance,Edit Glance,Editar vistazo,تحرير لمحة,Modifier le coup d'œil
Content,Content,Contenido,محتوى,Contenu
Edit Service,Edit Service,Editar servicio,تحرير الخدمة,Modifier le service
Edit Solution,Edit Solution,Editar solución,تحرير الحل,Modifier la solution
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع,Envoyer du courrier à tous
Ticket ID,Ticket ID,ID del billete,معرف التذكرة,Identifiant du billet
Support Ticket,Support Ticket,Boleto de soporte,تذكرة الدعم,Billet d'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Last Reply,Last Reply,Última respuesta,الرد الأخير,Dernière réponse
Slug,Slug,Babosa,سبيكة,Limace
Add link,Add link,Agregar enlace,إضافة رابط,Ajouter un lien
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟,Êtes-vous sûr de supprimer ce lien ?
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Receive,Receive,Recibir,يستلم,Recevoir
Total Money Out,Total Money Out,Salida total de dinero,إجمالي الأموال الخارجة,Total des sorties d'argent
Canceled,Canceled,Cancelado,تم الإلغاء,Annulé
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد,Ajouter/soustraire le solde
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير,Dernière connexion
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك,Modifier KYC
Information of Logs,Information of Logs,Información de registros,معلومات السجلات,Informations sur les journaux
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
